key,timestamp,usageBool,userID,username,date
-KiGxSwOGQZxrB51Y5fE,514495261,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:21:01
-KiGxWIS_yNbYYteHEQS,514495275,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:21:15
-KiGyoB7ErTMN3U2hDOi,514495614,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:26:54
-KiGzMaBuqMGgTBM2gF7,514495759,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:29:19
-KiH4jugEFKWMCtRGPYk,514497432,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:57:12
-KiH4mPsL4eBYRIzei_c,514497442,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:57:22
-KiH4wf1EICxaEwwkJhd,514497483,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:58:03
-KiH56nh2KD0rtiX2WM1,514497529,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:58:49
-KiH5HZk34Sd1b_Oqr2-,514497573,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:59:33
-KiH5KgpfJNGdHzteZfQ,514497586,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 15:59:46
-KiH5VQPZqqwo3cq85rT,514497630,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:00:30
-KiH5dmPaaDAdKFQaJyq,514497669,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:01:09
-KiH5rUsi8SsG4iQMp9K,514497724,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:02:04
-KiH5sUxyIIQHUZZQdj5,514497729,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:02:09
-KiH6F1rj0xgFdVmV6O4,514497825,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:03:45
-KiH6Fx57AU8l0PmSgCD,514497829,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:03:49
-KiH6MyjBYWJO-p2GgVh,514497857,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:04:17
-KiH6Py6cajVfwLy0wGC,514497870,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:04:30
-KiH6XeL5-A3zeU0t2YJ,514497901,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:05:01
-KiH6ZNKlR8lyTFqCLjh,514497908,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:05:08
-KiH6iPPC-1zwuFxYuhs,514497949,False,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:05:49
-KiH6pQRpzym4_W89ShP,514497978,True,Paul,y5DJ8b8bTiPuh12Cd8YhGCEMTJx1,2017-04-21 16:06:18
